

-0.5000000000	 0.0182866271
-0.4800000000	 0.0288949749
-0.4600000000	 0.0497056440
-0.4400000000	 0.0830560029
-0.4200000000	 0.1296298507
-0.4000000000	 0.1867814546
-0.3800000000	 0.2612180980
-0.3600000000	 0.3353087231
-0.3400000000	 0.4151863019
-0.3200000000	 0.4931928996
-0.3000000000	 0.5893336352
-0.2800000000	 0.6859301493
-0.2600000000	 0.7858903325
-0.2400000000	 0.8971418695
-0.2200000000	 0.9993681687
-0.2000000000	 1.1197458132
-0.1800000000	 1.2206373308
-0.1600000000	 1.2861434610
-0.1400000000	 1.3140430143
-0.1200000000	 1.3183632054
-0.1000000000	 1.2997448168
-0.0800000000	 1.2591457151
-0.0600000000	 1.1824800446
-0.0400000000	 1.1006854140
-0.0200000000	 1.0235394186
0.0000000000	 0.9418548571
0.0200000000	 0.8768052159
0.0400000000	 0.8296948751
0.0600000000	 0.7983362730
0.0800000000	 0.7816758495
0.1000000000	 0.7741902123
0.1200000000	 0.7733548769
0.1400000000	 0.7823061819
0.1600000000	 0.8056885992
0.1800000000	 0.8423052136
0.2000000000	 0.8895423854
0.2200000000	 0.9351169443
0.2400000000	 0.9562010892
0.2600000000	 0.9659285869
0.2800000000	 0.9468650605
0.3000000000	 0.9041192330
0.3200000000	 0.8147366174
0.3400000000	 0.7021650698
0.3600000000	 0.5530920217
0.3800000000	 0.4048504478
0.4000000000	 0.2720937197
0.4200000000	 0.1782947227
0.4400000000	 0.1055154323
0.4600000000	 0.0546585192
0.4800000000	 0.0272595667
0.5000000000	 0.0182866271
